abreviation;type_voie_complet
RUE;Rue
AV;Avenue
RTE;Route
CHE;Chemin
BD;Boulevard
ALL;Allée
IMP;Impasse
PL;Place
RES;Résidence
QUAI;Quai
GR;Grande Rue
LOT;Lotissement
CRS;Cours
CHEM;Chemin
SQ;Square
CITE;Cité
VC;Voie Communale
PAS;Passage
RLE;RLE
MTE;Montée
TRA;Traversée
PROM;Promenade
SEN;Sentier
VLA;Voie Lente
PARC;Parc
FG;Faubourg
CLOS;Clos
HAM;Hameau
VOIE;Voie
MAIL;MAIL
COR;Corridor
DOM;Domaine
TSSE;TSSE
COUR;Cour
CHS;CHS
CTR;Centre
ESP;Esplanade
COTE;Côte
CR;CR
N;N
RPT;RPT
VEN;VEN
QUA;Quai
CAMI;CAMI
CD;CD
PTR;PTR
ZAC;ZAC
ACH;ACH
ART;ART
VGE;VGE
CAE;CAE
ZA;ZA
D;D
RPE;RPE
CC;CC
GPL;GPL
