variable;A.1_coef;A.1_pvalue;A.2_coef;A.2_pvalue;A.3_coef;A.3_pvalue;A.4_coef;A.4_pvalue
Observations;25957.0;;25957.0;;23549.0;;23549.0;
R² ajusté;0.4972;;0.5607;;0.5605;;0.5607;
const;10.325674;0.0***;9.943042;0.0***;9.905428;0.0***;9.904443;0.0***
zone_inondable;-0.029343;0.001***;-0.027427;0.003***;-0.029188;0.002***;;
scenario_04Fai;;;;;;;0.009399;0.569
scenario_02Moy_03Mcc;;;;;;;-0.043535;0.0***
scenario_01For;;;;;;;-0.041426;0.028**
log_distance_centre_ville;;;;;0.004381;0.518;0.00449;0.508
log_distance_min_beach;;;;;-0.033362;0.0***;-0.033662;0.0***
log_distance_min_station;;;;;0.036712;0.0***;0.036949;0.0***
log_surface_reelle_bati;-0.705658;0.0***;-0.608879;0.0***;-0.603592;0.0***;-0.603532;0.0***
nombre_pieces_principales;2e-06;0.0***;2e-06;0.0***;2e-06;0.0***;2e-06;0.0***
periode_construction_dpe_1948-1974;0.105737;0.0***;0.090435;0.0***;0.094225;0.0***;0.094783;0.0***
periode_construction_dpe_1975-1988;0.188217;0.0***;0.153884;0.0***;0.161595;0.0***;0.162131;0.0***
periode_construction_dpe_1989-2000;0.247598;0.0***;0.197904;0.0***;0.200231;0.0***;0.200228;0.0***
periode_construction_dpe_2001-2012;0.205851;0.0***;0.192919;0.0***;0.199304;0.0***;0.20001;0.0***
periode_construction_dpe_après 2013;0.317405;0.0***;0.26387;0.0***;0.271921;0.0***;0.272668;0.0***
population__10000-50000;-0.03765;0.0***;0.091759;0.0***;0.101478;0.0***;0.101775;0.0***
population__plus_50000;-0.112706;0.0***;-0.030029;0.072*;-0.026768;0.236;-0.024414;0.281
