Variable;Modèle A.1;Modèle A.2;Modèle M.1;Modèle M.2
const;8.9519;8.9527;9.644;9.6415
;0.0000 ***;0.0000 ***;0.0000 ***;0.0000 ***
log_distance_centre_ville;0.0433;0.0434;0.0309;0.0303
;0.0000 ***;0.0000 ***;0.1510 ;0.1596 
log_distance_min_beach;-0.0702;-0.0702;-0.0101;-0.0098
;0.0000 ***;0.0000 ***;0.5936 ;0.6032 
log_distance_min_station;0.0294;0.0296;-0.006;-0.0061
;0.0000 ***;0.0000 ***;0.7534 ;0.7487 
log_surface_reelle_bati;-0.2225;-0.2227;-0.3928;-0.3921
;0.0000 ***;0.0000 ***;0.0000 ***;0.0000 ***
population__10000-50000;0.0846;0.0849;0.2574;0.2567
;0.0001 ***;0.0001 ***;0.0000 ***;0.0000 ***
population__plus_50000;0.4174;0.4173;0.6283;0.628
;0.0000 ***;0.0000 ***;0.0000 ***;0.0000 ***
scenario_01For;;-0.0656;;0.0252
;;0.0011 ***;;0.7621 
scenario_02Moy;;-0.0432;;0.0022
;;0.0014 ***;;0.9661 
scenario_03Mcc;;-0.0006;;-0.0958
;;0.9786 ;;0.1203 
scenario_04Fai;;-0.0335;;-0.0657
;;0.0181 **;;0.3556 
zone_inondable;-0.0372;;-0.037;
;0.0000 ***;;0.3223 ;
